sentiment_score,cluster,death,damage,rescue,collapse
0.027083333333333334,1,0,0,0,0
0.7,1,1,0,0,0
0.0,1,0,0,0,0
0.1,1,0,0,0,0
0.1,1,0,0,0,0
0.0,1,0,0,0,0
0.03125,1,0,0,0,0
0.5,3,0,0,0,0
0.0,1,0,0,0,0
0.18333333333333335,1,0,0,0,0
0.2587121212121212,3,0,0,0,0
0.1,3,0,0,0,0
-0.00909090909090909,1,0,0,0,0
0.1375,3,0,0,0,0
0.0,2,0,0,0,0
0.21666666666666667,1,0,0,0,0
0.03333333333333333,1,0,0,0,0
0.0,1,0,0,0,0
0.11805555555555557,1,1,1,0,0
0.0,1,0,0,0,0
0.37878787878787873,3,0,0,0,0
0.21212121212121213,3,0,0,0,0
0.1,0,0,0,0,0
0.11714285714285715,1,0,0,0,0
0.5,1,0,0,0,0
-0.4144444444444444,3,0,0,0,0
-0.018750000000000003,1,0,0,0,0
-0.13333333333333333,1,0,0,0,0
0.16666666666666666,2,0,0,0,0
-0.15,1,0,0,0,0
0.0,1,0,0,0,0
0.0,1,0,0,0,0
-0.16,1,0,0,0,0
0.16666666666666666,0,0,0,0,0
0.16571428571428573,1,0,0,0,0
0.016666666666666646,1,0,0,0,0
0.0,1,0,0,0,0
-0.12777777777777777,3,0,0,0,0
0.18409090909090906,3,0,0,0,0
0.048611111111111105,1,0,0,0,0
0.06666666666666668,3,0,0,0,0
0.19090909090909092,0,0,0,0,0
-0.1,3,0,0,0,0
0.07142857142857142,3,0,0,0,0
0.3932900432900433,1,0,0,0,0
0.2777777777777778,1,0,0,0,0
-0.14090909090909093,0,0,0,0,0
0.16,2,0,0,0,0
0.0,3,0,0,0,0
0.15625,1,0,0,0,0
0.175,1,0,0,0,0
0.0,1,0,0,0,0
-0.16666666666666666,2,0,0,0,0
0.1325,1,0,0,0,0
0.057499999999999996,3,0,0,0,0
0.125,1,0,0,0,0
0.15,1,0,0,0,0
0.12407407407407407,1,0,0,0,0
0.0,1,0,0,0,0
0.16,1,0,0,0,0
0.05,1,0,1,0,0
0.10714285714285714,3,0,0,0,0
0.13333333333333333,1,0,0,0,0
0.0,1,0,0,0,0
0.0,1,0,0,0,0
0.14285714285714285,1,0,0,0,0
-0.03333333333333333,0,0,0,0,0
0.4681818181818182,3,0,0,0,0
0.26666666666666666,1,0,0,0,0
0.16666666666666666,1,0,0,0,0
0.14444444444444446,0,0,0,0,0
0.13636363636363635,1,0,0,0,0
0.115625,1,0,0,0,0
0.3333333333333333,1,0,0,0,0
-0.3,1,0,0,0,0
0.125,2,0,0,0,0
0.06868686868686869,3,0,0,0,0
-0.2,1,0,0,0,0
0.03390151515151515,1,0,0,0,0
0.2672727272727273,1,0,0,0,0
-0.1,1,0,0,0,0
-0.26,1,0,1,0,0
-0.25,1,0,0,0,0
0.0,1,0,0,0,0
0.16666666666666666,1,0,0,0,0
0.3392857142857143,1,0,0,0,0
-0.018750000000000003,0,0,0,0,0
0.04999999999999999,1,0,0,0,0
-1.0,1,0,0,0,0
0.1,1,0,0,0,0
-0.013333333333333336,1,0,0,0,0
0.17777777777777778,1,0,0,0,0
