brightness,contrast,edge_density,damage_proxy,cluster,person_count,total_objects
118.66186044644292,73.80051528203013,0.15493817247470693,0.4548933988309435,2,0,0
111.07070356472795,58.102473331152645,0.2712687617260788,0.46702579242878983,0,0,1
148.46049625442598,68.53737196725332,0.1707945350117874,0.4171150608470952,0,0,0
70.29826617938876,66.52533343273265,0.12248986753089541,0.4593097218373605,2,0,1
119.6736561913696,46.3667742708631,0.09195356472795498,0.329590606408088,1,0,1
105.20901234284138,65.42465816535356,0.14769270845304586,0.4355098179883784,2,0,0
89.47118996852473,45.77311905659922,0.09087893864013268,0.3553124683016995,1,0,0
123.95726572261557,56.4314852254166,0.045802964042759964,0.3365751041739357,1,0,0
87.4340910658055,70.98797918375588,0.12946192566713402,0.46186317386355935,2,0,0
108.6047015625,73.38142474058274,0.0941640625,0.43250095106166697,2,0,0
146.57107462478672,73.48635816915585,0.10488909008601177,0.4026831521214367,3,1,3
116.70073913043478,68.42007765371464,0.17091304347826086,0.4465035589872409,2,0,4
140.95520588378957,65.33752555055477,0.020116670969722767,0.33796936999132093,3,0,0
117.58336408225712,62.59692997894591,0.1633217837375692,0.422170405324954,0,0,0
141.45565175410363,71.57851298288972,0.16135178628902477,0.4292443255723126,2,0,0
126.099834375,62.16443485806469,0.2030875,0.43261807411993536,0,0,1
123.36361815968218,57.13715428418361,0.2375715536759366,0.43540373377597336,0,0,5
111.0572473447055,61.18774729003089,0.16762632764724814,0.42566085179830826,0,0,0
92.61983400286084,58.49614072526862,0.16867810430924463,0.4343325537973713,0,0,0
102.31781475777844,48.79928272643823,0.10908972502509175,0.3626373559059053,1,0,0
109.14711007841998,50.16580238236257,0.17311249369429965,0.3928823838747382,0,0,0
120.96654040703419,51.144913147628664,0.18852143845089903,0.39283848372018415,0,0,1
89.60733330002664,55.25335359848533,0.0995287103650413,0.3916006118808181,1,0,1
120.53619724029083,73.2005900140675,0.14404195493445499,0.44566020802473105,2,0,0
101.77425074304705,68.7779946859491,0.14388131804126802,0.44817004417503004,2,0,1
99.90363619647412,61.288652966259775,0.13369496096413605,0.4194762179250032,0,2,2
71.64318768627271,62.41964187435429,0.14047164824051303,0.45314399646177767,2,0,2
68.35335310026738,61.02104909227106,0.11614606078715302,0.43932615034167255,2,0,0
92.78680371352785,68.87041005481856,0.09000618921308577,0.4299573175706901,2,0,0
80.23399299729546,70.30002946555028,0.15153117122915086,0.4773081802047311,2,0,2
88.33281617517487,74.19247476283982,0.12641643873399683,0.47034649571137044,2,0,0
129.6067589118199,61.120259576324905,0.14175891181988742,0.3951368488453598,0,0,0
60.24298771845144,66.75338212907471,0.14816389699741803,0.48233015624838294,2,0,1
71.68137311237273,73.09942866832338,0.15315160012565027,0.4955994119118806,2,0,1
91.1755081557757,73.78639492768218,0.10229005294167222,0.45424803476772513,2,0,0
80.86008057715732,69.5410605431389,0.06948093319591493,0.4331279428650918,2,0,0
137.84527303200693,62.34781400071952,0.09312716262975779,0.36726522801088607,3,0,0
108.65196654014545,67.46636825306702,0.18994565959422188,0.4603249882836552,2,0,1
91.81812142790218,64.28587171150814,0.09783378618945002,0.41925907089192493,2,0,0
66.64069000390742,69.64728081712985,0.13905808260739652,0.4815850448424428,2,0,1
144.49163958748622,72.10024044791034,0.15790120422708281,0.4264434832776994,2,0,0
103.23096948017076,74.76452024597833,0.2091149886677043,0.49968787562864175,2,0,1
106.73551738010943,73.14739186366009,0.16254666881235919,0.4676495572809932,2,0,0
132.73050852912777,83.08819381882626,0.15289185709687803,0.47214124179874817,2,0,0
121.08824831026713,71.81941578962606,0.12929031219826198,0.43309239365840324,2,0,0
133.01525587383327,71.69314504179442,0.15693353717412295,0.4353232172351768,2,0,0
134.43474477747503,64.96280568153058,0.15206115652437177,0.40877616026816804,0,0,0
122.94840070546738,83.3089545204934,0.11917037037037037,0.4651835677453062,2,0,1
120.44019118217922,59.674496748401,0.1779968795723969,0.4169415748820796,0,5,5
91.20247457627119,57.50219832280822,0.2402884679295447,0.4680998417563479,0,0,0
120.26271483746379,80.26156745739424,0.14025506919858385,0.4679242133163568,2,0,0
143.09831302929334,59.0551039256301,0.16428658197973067,0.38678237726575326,0,0,0
99.3455081662153,56.65260315599499,0.1474280160167478,0.4111720656361284,0,0,0
121.41381473634651,51.11565130610041,0.23541137005649718,0.4157657610581703,0,0,1
107.76888249333146,58.912193238438604,0.13613177968084608,0.4052886275367419,0,0,0
98.82647299115725,63.76846848373743,0.1978445790080738,0.46095342215390867,0,0,0
133.23162565679866,62.97964954874637,0.1759539600153787,0.41513564704380096,0,0,3
102.94552929828792,68.58578252738292,0.1991102001446829,0.4740375597253744,2,3,3
130.08048371842017,60.503942697593594,0.032179795801827345,0.33781765853560586,3,0,0
143.09409659863945,57.32037356910921,0.22589795918367347,0.4117199335500682,0,0,0
154.03759253299003,73.68516615109995,0.17044254908271644,0.42914438675219874,2,0,0
110.8276101893749,49.68738929688451,0.14604072398190046,0.37615416284733594,1,0,0
122.33335130350821,82.99687958360968,0.11072256195687158,0.4604789567531953,2,0,0
127.52817718111885,61.07028804160565,0.15493960489806768,0.4035035383693989,0,0,0
128.7989336966394,68.21807193562962,0.15612291855888585,0.42710111754816343,2,0,0
130.98281917035843,70.63582796951066,0.14936528393072895,0.4298623688406116,2,0,0
119.2208024691358,69.43450234145432,0.19247283950617283,0.45835858210832625,2,0,0
124.91271133333333,56.71530289103643,0.146985,0.3872325760255742,0,4,5
158.02563972146532,53.00765433112411,0.09949803209203754,0.3199458478546531,3,0,1
98.88626729964597,83.85709156043907,0.12276472481493401,0.4913577096861049,2,0,0
