image_path,brightness,contrast,edge_density,darkness,damage_proxy,cluster,person_count,total_objects
output_photos/images\img_0000.jpg,118.66186044644292,73.80051528203013,0.15493817247470693,136.33813955355708,0.4548933988309435,2,0,0
output_photos/images\img_0001.jpg,111.07070356472795,58.102473331152645,0.2712687617260788,143.92929643527205,0.46702579242878983,0,0,1
output_photos/images\img_0002.jpg,148.46049625442598,68.53737196725332,0.1707945350117874,106.53950374557402,0.4171150608470952,0,0,0
output_photos/images\img_0003.jpg,70.29826617938876,66.52533343273265,0.12248986753089541,184.70173382061125,0.4593097218373605,2,0,1
output_photos/images\img_0004.jpg,119.6736561913696,46.3667742708631,0.09195356472795498,135.32634380863038,0.329590606408088,1,0,1
output_photos/images\img_0005.jpg,105.20901234284138,65.42465816535356,0.14769270845304586,149.7909876571586,0.4355098179883784,2,0,0
output_photos/images\img_0006.jpg,89.47118996852473,45.77311905659922,0.09087893864013268,165.52881003147527,0.3553124683016995,1,0,0
output_photos/images\img_0007.jpg,123.95726572261557,56.4314852254166,0.045802964042759964,131.04273427738443,0.3365751041739357,1,0,0
output_photos/images\img_0008.jpg,87.4340910658055,70.98797918375588,0.12946192566713402,167.5659089341945,0.46186317386355935,2,0,0
output_photos/images\img_0009.jpg,108.6047015625,73.38142474058274,0.0941640625,146.3952984375,0.43250095106166697,2,0,0
output_photos/images\img_0010.jpg,146.57107462478672,73.48635816915585,0.10488909008601177,108.42892537521328,0.4026831521214367,3,1,3
output_photos/images\img_0011.jpg,116.70073913043478,68.42007765371464,0.17091304347826086,138.29926086956522,0.4465035589872409,2,0,4
output_photos/images\img_0012.jpg,140.95520588378957,65.33752555055477,0.020116670969722767,114.04479411621043,0.33796936999132093,3,0,0
output_photos/images\img_0013.jpg,117.58336408225712,62.59692997894591,0.1633217837375692,137.4166359177429,0.422170405324954,0,0,0
output_photos/images\img_0014.jpg,141.45565175410363,71.57851298288972,0.16135178628902477,113.54434824589637,0.4292443255723126,2,0,0
output_photos/images\img_0015.jpg,126.099834375,62.16443485806469,0.2030875,128.900165625,0.43261807411993536,0,0,1
output_photos/images\img_0016.jpg,123.36361815968218,57.13715428418361,0.2375715536759366,131.63638184031782,0.43540373377597336,0,0,5
output_photos/images\img_0017.jpg,111.0572473447055,61.18774729003089,0.16762632764724814,143.9427526552945,0.42566085179830826,0,0,0
output_photos/images\img_0018.jpg,92.61983400286084,58.49614072526862,0.16867810430924463,162.38016599713916,0.4343325537973713,0,0,0
output_photos/images\img_0019.jpg,102.31781475777844,48.79928272643823,0.10908972502509175,152.68218524222158,0.3626373559059053,1,0,0
output_photos/images\img_0020.jpg,109.14711007841998,50.16580238236257,0.17311249369429965,145.85288992158002,0.3928823838747382,0,0,0
output_photos/images\img_0021.jpg,120.96654040703419,51.144913147628664,0.18852143845089903,134.0334595929658,0.39283848372018415,0,0,1
output_photos/images\img_0022.jpg,89.60733330002664,55.25335359848533,0.0995287103650413,165.39266669997335,0.3916006118808181,1,0,1
output_photos/images\img_0023.jpg,120.53619724029083,73.2005900140675,0.14404195493445499,134.46380275970915,0.44566020802473105,2,0,0
output_photos/images\img_0024.jpg,101.77425074304705,68.7779946859491,0.14388131804126802,153.22574925695295,0.44817004417503004,2,0,1
output_photos/images\img_0025.jpg,99.90363619647412,61.288652966259775,0.13369496096413605,155.0963638035259,0.4194762179250032,0,2,2
output_photos/images\img_0026.jpg,71.64318768627271,62.41964187435429,0.14047164824051303,183.3568123137273,0.45314399646177767,2,0,2
output_photos/images\img_0027.jpg,68.35335310026738,61.02104909227106,0.11614606078715302,186.64664689973262,0.43932615034167255,2,0,0
output_photos/images\img_0028.jpg,92.78680371352785,68.87041005481856,0.09000618921308577,162.21319628647217,0.4299573175706901,2,0,0
output_photos/images\img_0029.jpg,80.23399299729546,70.30002946555028,0.15153117122915086,174.76600700270455,0.4773081802047311,2,0,2
output_photos/images\img_0030.jpg,88.33281617517487,74.19247476283982,0.12641643873399683,166.66718382482514,0.47034649571137044,2,0,0
output_photos/images\img_0031.jpg,129.6067589118199,61.120259576324905,0.14175891181988742,125.3932410881801,0.3951368488453598,0,0,0
output_photos/images\img_0032.jpg,60.24298771845144,66.75338212907471,0.14816389699741803,194.75701228154855,0.48233015624838294,2,0,1
output_photos/images\img_0033.jpg,71.68137311237273,73.09942866832338,0.15315160012565027,183.31862688762726,0.4955994119118806,2,0,1
output_photos/images\img_0034.jpg,91.1755081557757,73.78639492768218,0.10229005294167222,163.8244918442243,0.45424803476772513,2,0,0
output_photos/images\img_0035.jpg,80.86008057715732,69.5410605431389,0.06948093319591493,174.1399194228427,0.4331279428650918,2,0,0
output_photos/images\img_0036.jpg,137.84527303200693,62.34781400071952,0.09312716262975779,117.15472696799307,0.36726522801088607,3,0,0
output_photos/images\img_0037.jpg,108.65196654014545,67.46636825306702,0.18994565959422188,146.34803345985455,0.4603249882836552,2,0,1
output_photos/images\img_0038.jpg,91.81812142790218,64.28587171150814,0.09783378618945002,163.18187857209782,0.41925907089192493,2,0,0
output_photos/images\img_0039.jpg,66.64069000390742,69.64728081712985,0.13905808260739652,188.35930999609258,0.4815850448424428,2,0,1
output_photos/images\img_0040.jpg,144.49163958748622,72.10024044791034,0.15790120422708281,110.50836041251378,0.4264434832776994,2,0,0
output_photos/images\img_0041.jpg,103.23096948017076,74.76452024597833,0.2091149886677043,151.76903051982924,0.49968787562864175,2,0,1
output_photos/images\img_0042.jpg,106.73551738010943,73.14739186366009,0.16254666881235919,148.26448261989057,0.4676495572809932,2,0,0
output_photos/images\img_0043.jpg,132.73050852912777,83.08819381882626,0.15289185709687803,122.26949147087223,0.47214124179874817,2,0,0
output_photos/images\img_0044.jpg,121.08824831026713,71.81941578962606,0.12929031219826198,133.91175168973285,0.43309239365840324,2,0,0
output_photos/images\img_0045.jpg,133.01525587383327,71.69314504179442,0.15693353717412295,121.98474412616673,0.4353232172351768,2,0,0
output_photos/images\img_0046.jpg,134.43474477747503,64.96280568153058,0.15206115652437177,120.56525522252497,0.40877616026816804,0,0,0
output_photos/images\img_0047.jpg,122.94840070546738,83.3089545204934,0.11917037037037037,132.05159929453262,0.4651835677453062,2,0,1
output_photos/images\img_0048.jpg,120.44019118217922,59.674496748401,0.1779968795723969,134.5598088178208,0.4169415748820796,0,5,5
output_photos/images\img_0049.jpg,91.20247457627119,57.50219832280822,0.2402884679295447,163.7975254237288,0.4680998417563479,0,0,0
output_photos/images\img_0050.jpg,120.26271483746379,80.26156745739424,0.14025506919858385,134.7372851625362,0.4679242133163568,2,0,0
output_photos/images\img_0051.jpg,143.09831302929334,59.0551039256301,0.16428658197973067,111.90168697070666,0.38678237726575326,0,0,0
output_photos/images\img_0052.jpg,99.3455081662153,56.65260315599499,0.1474280160167478,155.6544918337847,0.4111720656361284,0,0,0
output_photos/images\img_0053.jpg,121.41381473634651,51.11565130610041,0.23541137005649718,133.58618526365348,0.4157657610581703,0,0,1
output_photos/images\img_0054.jpg,107.76888249333146,58.912193238438604,0.13613177968084608,147.23111750666854,0.4052886275367419,0,0,0
output_photos/images\img_0055.jpg,98.82647299115725,63.76846848373743,0.1978445790080738,156.17352700884277,0.46095342215390867,0,0,0
output_photos/images\img_0056.jpg,133.23162565679866,62.97964954874637,0.1759539600153787,121.76837434320134,0.41513564704380096,0,0,3
output_photos/images\img_0057.jpg,102.94552929828792,68.58578252738292,0.1991102001446829,152.0544707017121,0.4740375597253744,2,3,3
output_photos/images\img_0058.jpg,130.08048371842017,60.503942697593594,0.032179795801827345,124.91951628157983,0.33781765853560586,3,0,0
output_photos/images\img_0059.jpg,143.09409659863945,57.32037356910921,0.22589795918367347,111.90590340136055,0.4117199335500682,0,0,0
output_photos/images\img_0060.jpg,154.03759253299003,73.68516615109995,0.17044254908271644,100.96240746700997,0.42914438675219874,2,0,0
output_photos/images\img_0061.jpg,110.8276101893749,49.68738929688451,0.14604072398190046,144.1723898106251,0.37615416284733594,1,0,0
output_photos/images\img_0062.jpg,122.33335130350821,82.99687958360968,0.11072256195687158,132.6666486964918,0.4604789567531953,2,0,0
output_photos/images\img_0063.jpg,127.52817718111885,61.07028804160565,0.15493960489806768,127.47182281888115,0.4035035383693989,0,0,0
output_photos/images\img_0064.jpg,128.7989336966394,68.21807193562962,0.15612291855888585,126.20106630336059,0.42710111754816343,2,0,0
